"","Country.Code","datatopic","percountry_indicators"
"1","ABW","",33
"2","ABW","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"3","ABW","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"4","ABW","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"5","ABW","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"6","ABW","Economic Policy & Debt: Balance of payments: Reserves & other items",5
"7","ABW","Economic Policy & Debt: National accounts: Adjusted savings & income",22
"8","ABW","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"9","ABW","Economic Policy & Debt: National accounts: Growth rates",2
"10","ABW","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",2
"11","ABW","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"12","ABW","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",12
"13","ABW","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"14","ABW","Economic Policy & Debt: National accounts: Shares of GDP & other",16
"15","ABW","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"16","ABW","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",8
"17","ABW","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",4
"18","ABW","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"19","ABW","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",9
"20","ABW","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"21","ABW","Economic Policy & Debt: Official development assistance",20
"22","ABW","Economic Policy & Debt: Purchasing power parity",13
"23","ABW","Education: Efficiency",21
"24","ABW","Education: Inputs",34
"25","ABW","Education: Outcomes",31
"26","ABW","Education: Participation",44
"27","ABW","Environment: Agricultural production",4
"28","ABW","Environment: Biodiversity & protected areas",7
"29","ABW","Environment: Density & urbanization",7
"30","ABW","Environment: Energy production & use",6
"31","ABW","Environment: Land use",19
"32","ABW","Environment: Natural resources contribution to GDP",6
"33","ABW","Financial Sector: Access",2
"34","ABW","Financial Sector: Assets",8
"35","ABW","Financial Sector: Exchange rates & prices",8
"36","ABW","Financial Sector: Interest rates",4
"37","ABW","Financial Sector: Monetary holdings (liabilities)",4
"38","ABW","Health: Disease prevention",4
"39","ABW","Health: Health systems",1
"40","ABW","Health: Mortality",7
"41","ABW","Health: Population: Dynamics",6
"42","ABW","Health: Population: Structure",58
"43","ABW","Health: Reproductive health",3
"44","ABW","Health: Risk factors",3
"45","ABW","Infrastructure: Communications",13
"46","ABW","Infrastructure: Technology",3
"47","ABW","Infrastructure: Transportation",4
"48","ABW","Private Sector & Trade: Exports",22
"49","ABW","Private Sector & Trade: Imports",22
"50","ABW","Private Sector & Trade: Total merchandise trade",1
"51","ABW","Private Sector & Trade: Trade price indices",2
"52","ABW","Private Sector & Trade: Travel & tourism",9
"53","ABW","Public Sector: Conflict & fragility",3
"54","ABW","Public Sector: Defense & arms trade",1
"55","ABW","Public Sector: Policy & institutions",38
"56","ABW","Social Protection & Labor: Economic activity",3
"57","ABW","Social Protection & Labor: Labor force structure",7
"58","ABW","Social Protection & Labor: Migration",3
"59","ABW","Social Protection & Labor: Unemployment",9
"60","ABW","Trade",23
"61","AFG","",41
"62","AFG","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"63","AFG","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"64","AFG","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"65","AFG","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"66","AFG","Economic Policy & Debt: Balance of payments: Reserves & other items",6
"67","AFG","Economic Policy & Debt: External debt: Debt outstanding",9
"68","AFG","Economic Policy & Debt: External debt: Debt ratios & other items",9
"69","AFG","Economic Policy & Debt: External debt: Debt service",5
"70","AFG","Economic Policy & Debt: External debt: Net flows",10
"71","AFG","Economic Policy & Debt: National accounts: Adjusted savings & income",21
"72","AFG","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"73","AFG","Economic Policy & Debt: National accounts: Growth rates",15
"74","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",6
"75","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"76","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"77","AFG","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",4
"78","AFG","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"79","AFG","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",14
"80","AFG","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",4
"81","AFG","Economic Policy & Debt: National accounts: Shares of GDP & other",20
"82","AFG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"83","AFG","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"84","AFG","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"85","AFG","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"86","AFG","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
