"","Country.Code","percountry_indicators"
"1","ABW",694
"2","AFG",1267
"3","AGO",1357
"4","ALB",1397
"5","AND",614
"6","ARE",1130
"7","ARG",1323
"8","ARM",1398
"9","ASM",401
"10","ATG",908
"11","AUS",1105
"12","AUT",1115
"13","AZE",1393
"14","BDI",1276
"15","BEL",1142
"16","BEN",1344
"17","BFA",1378
"18","BGD",1457
"19","BGR",1323
"20","BHR",1127
"21","BHS",1045
"22","BIH",1339
"23","BLR",1312
"24","BLZ",1304
"25","BMU",713
"26","BOL",1366
"27","BRA",1349
"28","BRB",1104
"29","BRN",1036
"30","BTN",1290
"31","BWA",1367
"32","CAF",1267
"33","CAN",1135
"34","CHE",1111
"35","CHI",214
"36","CHL",1278
"37","CHN",1243
"38","CIV",1438
"39","CMR",1394
"40","COD",1377
"41","COG",1357
"42","COL",1448
"43","COM",1205
"44","CPV",1270
"45","CRI",1381
"46","CUB",1005
"47","CUW",527
"48","CYM",640
"49","CYP",1183
"50","CZE",1194
"51","DEU",1146
"52","DJI",1198
"53","DMA",920
"54","DNK",1135
"55","DOM",1374
"56","DZA",1252
"57","ECU",1382
"58","EGY",1380
"59","ERI",1042
"60","ESP",1165
"61","EST",1233
"62","ETH",1387
"63","FIN",1133
"64","FJI",1200
"65","FRA",1121
"66","FRO",392
"67","FSM",904
"68","GAB",1247
"69","GBR",1173
"70","GEO",1419
"71","GHA",1463
"72","GIB",324
"73","GIN",1341
"74","GMB",1399
"75","GNB",1267
"76","GNQ",1038
"77","GRC",1209
"78","GRD",974
"79","GRL",443
"80","GTM",1368
"81","GUM",431
"82","GUY",1198
"83","HKG",994
"84","HND",1405
"85","HRV",1275
"86","HTI",1215
"87","HUN",1262
"88","IDN",1459
"89","IMN",226
"90","IND",1406
"91","IRL",1146
"92","IRN",1253
"93","IRQ",1359
"94","ISL",1119
"95","ISR",1174
"96","ITA",1151
"97","JAM",1242
"98","JOR",1358
"99","JPN",1061
"100","KAZ",1345
"101","KEN",1400
"102","KGZ",1425
"103","KHM",1401
"104","KIR",1032
"105","KNA",890
"106","KOR",1214
"107","KWT",1124
"108","LAO",1360
"109","LBN",1262
"110","LBR",1205
"111","LBY",1017
"112","LCA",1133
"113","LIE",390
"114","LKA",1380
"115","LSO",1387
"116","LTU",1229
"117","LUX",1102
"118","LVA",1239
"119","MAC",880
"120","MAF",152
"121","MAR",1391
"122","MCO",426
"123","MDA",1392
"124","MDG",1421
"125","MDV",1254
"126","MEX",1430
"127","MHL",953
"128","MKD",1353
"129","MLI",1370
"130","MLT",1182
"131","MMR",1269
"132","MNE",1218
"133","MNG",1384
"134","MNP",273
"135","MOZ",1362
"136","MRT",1279
"137","MUS",1325
"138","MWI",1342
"139","MYS",1284
"140","NAM",1331
"141","NCL",629
"142","NER",1362
"143","NGA",1262
"144","NIC",1328
"145","NLD",1153
"146","NOR",1119
"147","NPL",1411
"148","NRU",752
"149","NZL",1143
"150","OMN",1118
"151","PAK",1422
"152","PAN",1305
"153","PER",1431
"154","PHL",1443
"155","PLW",882
"156","PNG",1288
"157","POL",1243
"158","PRI",683
"159","PRK",591
"160","PRT",1255
"161","PRY",1411
"162","PSE",1128
"163","PYF",613
"164","QAT",1088
"165","ROU",1332
"166","RUS",1258
"167","RWA",1445
"168","SAU",1181
"169","SDN",1298
"170","SEN",1408
"171","SGP",1201
"172","SLB",1220
"173","SLE",1357
"174","SLV",1422
"175","SMR",724
"176","SOM",1068
"177","SRB",1335
"178","SSD",1047
"179","STP",1074
"180","SUR",1131
"181","SVK",1229
"182","SVN",1172
"183","SWE",1138
"184","SWZ",1347
"185","SXM",405
"186","SYC",1132
"187","SYR",1161
"188","TCA",560
"189","TCD",1334
"190","TGO",1410
"191","THA",1369
"192","TJK",1353
"193","TKM",975
"194","TLS",1313
"195","TON",1198
"196","TTO",1161
"197","TUN",1359
"198","TUR",1346
"199","TUV",806
"200","TZA",1435
"201","UGA",1372
"202","UKR",1368
"203","URY",1298
"204","USA",1160
"205","UZB",1321
"206","VCT",1037
"207","VEN",1167
"208","VGB",389
"209","VIR",415
"210","VNM",1366
"211","VUT",1272
"212","WSM",1259
"213","XKX",739
"214","YEM",1271
"215","ZAF",1374
"216","ZMB",1359
"217","ZWE",1373
