"","datatopic","pertheme_indicators"
"1","",43
"2","Economic Policy & Debt: Balance of payments: Capital & financial account",11
"3","Economic Policy & Debt: Balance of payments: Current account: Balances",4
"4","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",22
"5","Economic Policy & Debt: Balance of payments: Current account: Transfers",7
"6","Economic Policy & Debt: Balance of payments: Reserves & other items",6
"7","Economic Policy & Debt: External debt: Debt outstanding",10
"8","Economic Policy & Debt: External debt: Debt ratios & other items",10
"9","Economic Policy & Debt: External debt: Debt service",5
"10","Economic Policy & Debt: External debt: Net flows",20
"11","Economic Policy & Debt: National accounts: Adjusted savings & income",28
"12","Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita",2
"13","Economic Policy & Debt: National accounts: Growth rates",16
"14","Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators",8
"15","Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP",11
"16","Economic Policy & Debt: National accounts: Local currency at constant prices: Other items",3
"17","Economic Policy & Debt: National accounts: Local currency at constant prices: Value added",5
"18","Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators",11
"19","Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP",14
"20","Economic Policy & Debt: National accounts: Local currency at current prices: Value added",5
"21","Economic Policy & Debt: National accounts: Shares of GDP & other",25
"22","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators",5
"23","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP",9
"24","Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added",7
"25","Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators",9
"26","Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP",10
"27","Economic Policy & Debt: National accounts: US$ at current prices: Value added",4
"28","Economic Policy & Debt: Official development assistance",74
"29","Economic Policy & Debt: Purchasing power parity",13
"30","Education: Efficiency",21
"31","Education: Inputs",42
"32","Education: Outcomes",49
"33","Education: Participation",44
"34","Employment and Time Use",1
"35","Environment: Agricultural production",11
"36","Environment: Biodiversity & protected areas",7
"37","Environment: Density & urbanization",12
"38","Environment: Emissions",5
"39","Environment: Energy production & use",27
"40","Environment: Freshwater",9
"41","Environment: Land use",24
"42","Environment: Natural resources contribution to GDP",6
"43","Financial Sector: Access",15
"44","Financial Sector: Assets",14
"45","Financial Sector: Capital markets",7
"46","Financial Sector: Exchange rates & prices",10
"47","Financial Sector: Interest rates",5
"48","Financial Sector: Monetary holdings (liabilities)",4
"49","Gender: Agency",2
"50","Gender: Health",7
"51","Gender: Participation & access",2
"52","Gender: Public life & decision making",3
"53","Health",2
"54","Health: Disease prevention",27
"55","Health: Health systems",23
"56","Health: Mortality",39
"57","Health: Nutrition",26
"58","Health: Population: Dynamics",13
"59","Health: Population: Structure",58
"60","Health: Reproductive health",16
"61","Health: Risk factors",32
"62","Health: Universal Health Coverage",12
"63","Infrastructure: Communications",15
"64","Infrastructure: Technology",13
"65","Infrastructure: Transportation",8
"66","Poverty: Income distribution",9
"67","Poverty: Poverty rates",10
"68","Poverty: Shared prosperity",5
"69","Private Sector & Trade: Business environment",54
"70","Private Sector & Trade: Exports",23
"71","Private Sector & Trade: Imports",23
"72","Private Sector & Trade: Private infrastructure investment",8
"73","Private Sector & Trade: Total merchandise trade",1
"74","Private Sector & Trade: Trade facilitation",16
"75","Private Sector & Trade: Trade price indices",2
"76","Private Sector & Trade: Travel & tourism",10
"77","Public Sector: Conflict & fragility",7
"78","Public Sector: Defense & arms trade",8
"79","Public Sector: Government finance",1
"80","Public Sector: Government finance: Deficit & financing",10
"81","Public Sector: Government finance: Expense",13
"82","Public Sector: Government finance: Revenue",22
"83","Public Sector: Policy & institutions",72
"84","Social Protection & Labor: Economic activity",74
"85","Social Protection & Labor: Labor force structure",28
"86","Social Protection & Labor: Migration",5
"87","Social Protection & Labor: Performance",27
"88","Social Protection & Labor: Unemployment",27
"89","Trade",30
